ID,Time,From,To
360,0.0,5,5
369,0.0,0,0
373,0.0,2,2
374,0.0,2,2
377,0.0,7,7
379,0.0,0,0
381,0.0,0,0
383,0.0,1,1
384,0.0,3,3
386,0.0,5,5
387,0.0,7,7
389,0.0,1,1
391,0.0,4,4
395,0.0,4,4
396,0.0,7,7
398,0.0,0,0
399,0.0,7,7
401,0.0,7,7
406,0.0,4,4
408,0.0,7,7
411,0.0,0,0
418,0.0,3,3
420,0.0,0,0
422,0.0,7,7
424,0.0,7,7
426,0.0,7,7
429,0.0,1,1
431,0.0,1,1
432,0.0,3,3
435,0.0,0,0
436,0.0,5,5
439,0.0,4,4
440,0.0,0,0
442,0.0,3,3
449,0.0,7,7
451,0.0,7,7
453,0.0,0,0
456,0.0,0,0
457,0.0,7,7
458,0.0,1,1
461,0.0,0,0
462,0.0,2,2
465,0.0,7,7
466,0.0,7,7
468,0.0,1,1
469,0.0,0,0
474,0.0,2,2
479,0.0,4,4
480,0.0,7,7
482,0.0,7,7
487,0.0,4,4
489,0.0,2,2
492,0.0,2,2
493,0.0,2,2
496,0.0,7,7
497,0.0,7,7
504,0.0,7,7
507,0.0,2,2
508,0.0,4,4
509,0.0,1,1
514,0.0,7,7
515,0.0,2,2
516,0.0,0,0
525,0.0,2,2
527,0.0,7,7
528,0.0,7,7
529,0.0,7,7
532,0.0,7,7
538,0.0,1,1
539,0.0,7,7
541,0.0,1,1
544,0.0,7,7
546,0.0,1,1
560,0.0,5,5
561,0.0,7,7
565,0.0,7,7
569,0.0,7,7
570,0.0,1,1
572,0.0,7,7
574,0.0,3,3
579,0.0,7,7
590,0.0,0,0
591,0.0,4,4
593,0.0,1,1
594,0.0,7,7
604,0.0,7,7
609,0.0,1,1
611,0.0,3,3
613,0.0,4,4
614,0.0,0,0
617,0.0,7,7
622,0.0,4,4
626,0.0,0,0
628,0.0,7,7
631,0.0,7,7
634,0.0,7,7
638,0.0,7,7
639,0.0,2,2
641,0.0,7,7
642,0.0,3,3
644,0.0,7,7
648,0.0,3,3
649,0.0,7,7
654,0.0,2,2
655,0.0,2,2
658,0.0,7,7
660,0.0,1,1
662,0.0,5,5
664,0.0,4,4
671,0.0,1,1
672,0.0,2,2
684,0.0,0,0
689,0.0,7,7
690,0.0,4,4
691,0.0,2,2
692,0.0,0,0
696,0.0,7,7
700,0.0,5,5
701,0.0,2,2
703,0.0,4,4
709,0.0,3,3
719,0.0,1,1
722,0.0,2,2
725,0.0,3,3
729,0.0,2,2
733,0.0,2,2
734,0.0,4,4
735,0.0,2,2
736,0.0,7,7
740,0.0,2,2
741,0.0,4,4
745,0.0,2,2
748,0.0,1,1
751,0.0,3,3
753,0.0,4,4
754,0.0,4,4
755,0.0,2,2
757,0.0,2,2
760,0.0,2,2
761,0.0,2,2
764,0.0,7,7
765,0.0,7,7
766,0.0,3,3
767,0.0,5,5
768,0.0,7,7
769,0.0,7,7
778,0.0,7,7
781,0.0,5,5
782,0.0,0,0
784,0.0,3,3
786,0.0,7,7
789,0.0,7,7
792,0.0,2,2
795,0.0,7,7
797,0.0,7,7
802,0.0,7,7
805,0.0,2,2
807,0.0,3,3
816,0.0,7,7
818,0.0,2,2
825,0.0,3,3
826,0.0,7,7
827,0.0,2,2
828,0.0,2,2
830,0.0,7,7
834,0.0,7,7
835,0.0,7,7
840,0.0,2,2
846,0.0,1,1
862,0.0,7,7
863,0.0,4,4
865,0.0,1,1
875,0.0,1,1
878,0.0,1,1
879,0.0,7,7
892,0.0,7,7
893,0.0,2,2
895,0.0,7,7
897,0.0,2,2
898,0.0,3,3
899,0.0,7,7
902,0.0,7,7
905,0.0,1,1
906,0.0,7,7
907,0.0,2,2
909,0.0,0,0
910,0.0,3,3
914,0.0,7,7
916,0.0,1,1
919,0.0,7,7
924,0.0,7,7
929,0.0,1,1
932,0.0,7,7
937,0.0,7,7
944,0.0,4,4
945,0.0,2,2
948,0.0,7,7
950,0.0,0,0
951,0.0,7,7
952,0.0,1,1
957,0.0,7,7
960,0.0,7,7
961,0.0,3,3
964,0.0,7,7
967,0.0,3,3
968,0.0,5,5
969,0.0,0,0
970,0.0,7,7
971,0.0,7,7
974,0.0,3,3
975,0.0,7,7
979,0.0,7,7
982,0.0,2,2
983,0.0,7,7
984,0.0,7,7
987,0.0,7,7
989,0.0,7,7
991,0.0,3,3
992,0.0,7,7
998,0.0,0,0
659,0.0030711087791941427,6,5
498,0.003673307503680112,6,7
716,0.00940119385413285,6,7
938,0.012601066163974495,1,2
976,0.019128081832066934,6,7
238,0.01930176953274587,6,5
588,0.021511753057168903,6,7
926,0.028303951469898947,6,7
837,0.028939730625077376,6,5
943,0.06386146224638445,6,7
291,0.06496050856164226,4,5
242,0.06652917396568492,5,4
223,0.06738342153469723,3,4
592,0.0692693447127839,4,5
28,0.06935040564712625,6,7
963,0.07142735169821823,6,7
300,0.07750694404754599,0,1
885,0.08592748676493189,5,7
370,0.10205873137103993,6,7
954,0.10570771566183512,5,7
503,0.11088104234968887,6,7
486,0.1379913757175305,4,7
230,0.1414835181860502,1,2
575,0.14510884480813258,5,7
481,0.15013491451437577,6,7
576,0.16408737157786224,5,7
366,0.16572030745553445,1,2
912,0.16666013749109254,5,7
198,0.17016621943756904,6,7
610,0.17775223270131557,5,7
104,0.18276551919578377,1,2
728,0.19131468000037,5,3
861,0.19505832344731133,4,3
841,0.19926075269381316,6,7
599,0.2062116560577164,5,6
694,0.21616507894552883,6,7
116,0.2217072304365928,0,1
357,0.23395372981761786,1,2
115,0.23631683579886598,2,3
965,0.23665643594362418,4,5
473,0.2382116517487347,5,7
896,0.24189903470198315,3,4
651,0.26635554163396424,1,2
302,0.26666735160058996,0,1
683,0.2727071364222752,5,4
788,0.2793516505055693,4,5
419,0.29182377362121736,0,1
554,0.3031562189635706,1,2
327,0.3163059481375863,1,2
385,0.32622603277919837,4,5
438,0.32898223524780534,3,4
567,0.32967645791619893,3,4
793,0.33506855219661824,6,7
251,0.33686140299294476,4,3
382,0.342629830979879,4,6
925,0.35587948138741876,0,1
46,0.3593947914070609,5,7
34,0.3630883193684473,0,5
216,0.36687355336257654,1,2
959,0.36857397026299776,5,7
35,0.39324606669480067,4,5
204,0.39613472733082544,1,0
73,0.3972491951012993,2,4
84,0.3980449937929773,4,6
687,0.4000639546878223,2,3
850,0.4211009286082241,2,3
625,0.4229429484110482,6,7
698,0.44673282938190484,6,7
571,0.45017250025795563,1,2
421,0.4663558335973338,4,5
169,0.4725024596552968,6,7
856,0.473326648048089,6,7
400,0.47839426638711247,6,7
821,0.47849011487150483,6,7
93,0.5022500597013508,6,7
712,0.5036588021339509,6,7
779,0.5058220876860794,6,7
505,0.5211233454665449,5,4
988,0.5225788801260739,6,5
608,0.5279962304627576,3,4
258,0.5378521922044566,4,5
292,0.5624142548994457,3,2
534,0.5721886999391125,1,2
221,0.5727846505031033,6,7
175,0.574065313108006,6,7
4,0.581144832569466,4,3
410,0.5854254433091924,6,5
553,0.5913080479057132,1,2
670,0.6229270085048382,0,1
138,0.637237265908568,0,3
43,0.6374974196184444,3,6
695,0.6501214914261445,0,1
346,0.65601801253285,4,3
130,0.65834889570635,3,4
245,0.6615280188004999,6,7
380,0.66158874591776,4,1
341,0.671499767108619,6,7
842,0.6719838173969126,0,1
556,0.7051495843839114,4,2
110,0.7058137829813138,4,5
669,0.7087413355336897,1,2
852,0.7115615448832356,3,2
573,0.7211017438793594,6,7
986,0.7262237300082175,5,3
815,0.7357194230083799,6,5
337,0.7517701394728902,5,7
824,0.7520710540876394,5,6
294,0.7663195175610766,0,1
60,0.766905924760872,1,2
75,0.7708623313063118,6,5
762,0.77775012495648,4,5
550,0.7838381265262057,0,2
340,0.7993147154678247,4,5
99,0.813827819686202,4,3
388,0.8163221200781365,4,5
62,0.8283621025458394,5,7
183,0.8309559733795888,5,7
750,0.8378011041931569,6,5
413,0.8384409033967196,6,7
176,0.8432547248137309,6,7
742,0.8486077412744322,6,7
467,0.8711009857362045,6,7
581,0.8783964438049731,0,1
518,0.8953570876248591,6,7
913,0.903850641942731,6,7
494,0.9067181608937344,3,5
205,0.9099885602029306,5,7
801,0.9118325219203691,3,4
942,0.9128439497161936,0,1
958,0.9239481486914446,5,7
241,0.9239827344583443,1,2
434,0.9481121548695394,0,1
585,0.9545380512101673,1,2
946,0.96267879315081,6,7
92,0.9666560882760824,5,4
181,0.9816857657936756,3,4
582,0.9867116089682296,4,7
182,0.9965972780162058,6,5
36,1.0143958535871536,3,2
421,1.0417029010008454,5,6
707,1.0524313419699503,6,7
758,1.0533137107744468,6,5
705,1.0566326805274797,6,7
99,1.0694406126064493,3,4
121,1.073502027850618,6,5
920,1.0748228274249074,4,3
258,1.0928888587936445,5,6
238,1.105741657361898,5,3
262,1.1075651964555826,6,7
633,1.1114085722744593,6,7
34,1.114510995515483,5,7
105,1.1174570543536144,2,4
506,1.117999125223927,4,5
89,1.132543700307234,4,2
656,1.1426212564416152,6,7
460,1.1475472104468998,4,5
38,1.1488654490319146,6,7
566,1.1545708483652768,6,7
427,1.1565404721628285,1,0
894,1.1707808979042313,6,7
362,1.1766068450512739,4,2
550,1.1769943425686769,2,3
202,1.17743734007197,5,7
519,1.180032585220529,3,2
780,1.1903562598894872,6,7
410,1.2229067696759448,5,6
918,1.2365216631024465,1,2
854,1.258442477228607,6,5
646,1.269393349666458,5,7
530,1.2725618044692932,4,5
737,1.274768097693051,1,2
533,1.2759016633716969,4,7
621,1.2877705254105294,5,7
81,1.3209778569156323,6,7
555,1.324312344917836,3,7
839,1.3377204675707288,4,5
726,1.3401934393075643,6,7
752,1.3410066912739311,6,7
673,1.3489199140800772,6,5
450,1.3622073732893372,1,2
511,1.3649475201135357,0,1
551,1.3687658230938236,6,5
255,1.3779954002525017,3,2
577,1.3835922533492395,6,7
115,1.3840008105498995,3,0
346,1.3864499858155788,3,2
12,1.394728240740789,3,2
361,1.3949628565344256,2,1
605,1.3960990598438086,5,6
483,1.4100904966319177,6,7
645,1.4105082727311542,4,5
0,1.411836444501267,6,7
227,1.422137808998597,6,7
558,1.4245947234616427,6,7
978,1.4246374398288588,6,7
393,1.4261295191364087,6,5
385,1.4266748167287897,5,7
794,1.43452490687022,6,7
145,1.4356998575173359,5,7
911,1.449482518187054,6,7
531,1.4550129499715467,6,7
437,1.4575669934164899,2,3
715,1.4582792756071812,4,6
471,1.4609549110656772,4,5
723,1.4644309629198222,6,7
334,1.467665155737604,4,5
491,1.4733802135572869,0,2
50,1.477609790041976,0,1
777,1.4808154278130148,5,7
219,1.4947360450239722,4,3
97,1.5217890664676643,0,2
25,1.5288026033065218,1,2
84,1.5291717630971515,6,5
118,1.5347179667644972,0,1
800,1.5547515538433458,6,7
659,1.5706838875719307,5,4
218,1.5750659718247184,1,2
759,1.5908048219370503,0,1
203,1.6046788218846633,5,4
464,1.6110600435461948,3,4
774,1.6116250984336742,3,4
434,1.6149834403464962,1,2
814,1.6167072747277587,3,2
233,1.6204146592224418,1,2
578,1.6218445271739768,5,4
730,1.6228977756453353,6,7
53,1.6272413966780648,6,5
67,1.6299211334202006,6,7
526,1.6306278005262642,4,5
488,1.6528914721896362,6,5
445,1.6532888685261307,5,4
717,1.6571876894137392,4,3
812,1.659462100006297,4,5
599,1.6602646685238511,6,2
928,1.66430879456697,2,3
269,1.6809305349703256,6,7
224,1.692161966458892,5,2
85,1.6969752143919905,0,3
343,1.7101505653274969,2,3
446,1.7116924746091142,4,5
629,1.715641492090986,5,7
290,1.7212999112756115,0,1
49,1.7261837625248377,5,4
104,1.7326533014768648,2,1
850,1.7335733141242222,3,4
212,1.737806660034132,3,2
675,1.7439111528266804,4,3
69,1.758624547846901,0,1
220,1.8070475163379551,4,5
824,1.811035333492377,6,7
44,1.8176417164320555,2,4
319,1.8182409819140188,6,7
388,1.8389612935198163,5,7
254,1.8399318089022523,5,2
495,1.8546555604933945,3,2
26,1.8554788639670599,6,5
441,1.8753614538872614,6,5
444,1.8813123403216707,5,4
939,1.8859334954782014,3,4
277,1.8873112302369077,5,4
499,1.897738893905953,0,1
595,1.9014938474030387,4,3
124,1.9134080798125397,4,7
627,1.9176660962057124,1,2
747,1.9300006027208332,6,7
981,1.9327481208874961,1,2
568,1.93810164905492,1,2
181,1.9391011633925919,4,5
833,1.9392322837580442,4,5
990,1.941616766415598,3,5
273,1.9458314159104666,6,7
859,1.9566885089457864,4,3
253,1.958341414992208,1,3
848,1.9796374787719286,3,4
772,1.9849476181326187,5,3
5,2.0125189554698695,4,3
349,2.0167271062976604,5,4
219,2.0170054537572417,3,4
677,2.0335616825797587,5,4
603,2.037670030006896,5,7
342,2.0450533753774893,2,3
775,2.063006658656364,5,4
412,2.0775250678710897,1,2
888,2.083600596564237,2,3
661,2.086024548020319,6,7
258,2.086705267763512,6,7
154,2.0869805151566765,3,2
131,2.0886443865271835,3,2
346,2.112253623573084,2,1
947,2.116191754820534,3,4
65,2.1276256570273624,4,5
308,2.127769579830123,5,4
702,2.145962128710563,5,7
404,2.149760362406637,5,7
774,2.162065238236419,4,3
306,2.1659743711554116,0,1
704,2.1907306201404038,6,7
526,2.196586209547964,5,6
832,2.196908094852295,6,7
584,2.201344502908901,0,1
783,2.2014896484513042,3,4
798,2.2201872370218383,6,7
160,2.2398395302907033,4,2
362,2.24004927377221,2,3
927,2.2430471715445246,5,3
477,2.2445100754825473,1,2
706,2.2536010183789186,3,2
43,2.2585709567470804,6,5
332,2.261546274655652,6,7
650,2.2749946358478708,6,7
122,2.2791105671666143,3,4
858,2.2870727652786575,0,1
226,2.3097006771725876,5,6
61,2.3191087810536146,5,3
619,2.3267867687478923,1,2
218,2.33229924501522,2,3
763,2.3502717733813068,3,4
636,2.353278860212854,4,5
809,2.354093934818765,1,2
956,2.3608703461952376,1,2
981,2.3613002381259713,2,3
459,2.3819552081372244,0,2
27,2.3922510569054323,2,3
965,2.399899469448416,5,6
318,2.4029912486137723,0,1
699,2.4047436188939364,5,7
718,2.408338084790053,1,2
697,2.4194700508872877,6,7
49,2.4257828308290144,4,3
715,2.4264553184034217,6,7
393,2.4391358912338847,5,7
973,2.4411422047007654,6,7
157,2.4780674100269144,5,6
15,2.479064304489338,6,7
121,2.4912789054483016,5,4
866,2.500062060184635,2,3
627,2.5014964407065823,2,3
264,2.5026633675454235,6,5
630,2.5080225853992797,5,6
307,2.5115745400730223,2,3
367,2.52762562011495,6,7
955,2.5400969238041085,1,3
390,2.5434558228684914,3,2
2,2.55462182229937,6,7
720,2.557550903749033,0,1
896,2.5612922018769595,4,5
966,2.56999569516286,2,1
713,2.5837122272258646,5,7
886,2.5885686651607824,3,5
305,2.598638301722329,0,1
53,2.6070526530707014,5,4
443,2.64243267567244,6,5
837,2.6517452724084487,5,6
520,2.6523557584141964,4,3
505,2.6584931174061754,4,5
375,2.6615808196254793,5,2
990,2.6790265028719795,5,7
251,2.6806912486581242,3,4
843,2.6842809670757726,3,2
286,2.697579728466208,5,4
762,2.700164180215078,5,4
100,2.7031991433794587,4,3
495,2.7361554997140423,2,1
500,2.740783533623581,0,1
165,2.744929617162593,0,1
344,2.7560817871078545,6,7
16,2.7812808979225707,6,7
831,2.782556637244143,6,7
334,2.787604467948963,5,4
203,2.802727537007364,4,2
521,2.8037338713505746,5,4
724,2.8069248588952513,4,6
470,2.815234082244984,6,7
358,2.8160242185850137,2,7
421,2.8630260036405,6,7
873,2.8634752514369843,6,7
146,2.869643132144045,6,7
201,2.873310969184911,0,1
502,2.880456855195056,0,1
19,2.884360559641659,0,2
229,2.8905600799014346,2,3
536,2.8909273919601524,6,7
181,2.8963809353893524,5,6
392,2.9039474211963743,5,1
214,2.9134081317646885,6,7
56,2.9333078837872195,3,2
60,2.9440038004551585,2,3
8,2.9503210923628878,5,6
659,2.9521012375110245,4,5
758,2.9730406361809445,5,3
220,2.9738999679764735,5,4
864,2.9753010511557605,4,3
347,2.9838316576843775,4,5
605,2.9891361047636895,6,7
665,2.997583156249073,1,2
933,2.997774941787532,1,2
947,3.007633506180663,4,7
866,3.015590219260184,3,2
210,3.0188911205386866,1,2
180,3.0248640460203693,2,3
111,3.028194062229567,3,4
264,3.0354305329739066,5,4
485,3.038814296029802,5,4
812,3.0474624663197587,5,3
417,3.0726693116006096,3,2
127,3.0968086904012817,1,0
44,3.1114152701533038,4,5
8,3.1319980207075804,6,7
956,3.140396189120759,2,3
934,3.141982573273327,5,6
282,3.1608700515100625,4,7
21,3.179353259061876,0,1
994,3.187091337388539,1,2
47,3.189208914310054,3,4
236,3.198820489451573,4,5
95,3.2096365216456406,3,4
615,3.2146974472498364,3,5
849,3.2228169774242015,0,1
763,3.2284802208009573,4,2
791,3.253076803585241,6,4
48,3.260753662084586,5,7
304,3.2639197637066584,1,2
563,3.2773397152001444,5,7
717,3.281680329764555,3,2
543,3.28300427869003,2,3
635,3.292096152301656,6,5
441,3.294343361466903,5,6
804,3.3217470234591175,2,3
7,3.3328764988474884,2,3
884,3.349550682684537,6,7
494,3.367596321975312,5,7
394,3.370013260539357,2,3
632,3.3953725911680253,3,4
425,3.396158057410128,0,1
670,3.3964048324050964,1,2
882,3.397831872921908,5,6
616,3.4008980209918755,5,7
92,3.414617078932966,4,5
378,3.416064972697142,6,7
785,3.423601016575699,4,3
226,3.4258026447667422,6,7
557,3.4519848396894526,4,6
750,3.4558243710072993,5,7
213,3.4573685328439145,3,4
371,3.4662364353275645,0,1
869,3.474807668312671,3,5
52,3.4797713990050325,3,4
949,3.4948655295320927,5,7
917,3.5013522186379005,4,5
524,3.504152690436487,1,2
54,3.5171429031031884,1,0
665,3.517540459521528,2,1
666,3.5194001904550243,2,3
891,3.539913826651512,0,1
448,3.5448652769471636,1,0
559,3.552425564344634,3,2
746,3.581675709745695,6,5
397,3.590071611108455,6,7
243,3.604082829130985,0,1
770,3.629499282469429,2,3
284,3.6314067789380986,5,7
286,3.6340793797725004,4,6
620,3.637901489574366,3,2
162,3.649343323821111,4,5
476,3.6670501504623183,6,5
693,3.696794775706416,5,4
965,3.696906137798826,6,5
403,3.697021680195813,3,0
724,3.703471149313115,6,7
526,3.7110748403597507,6,7
923,3.7127926492465892,4,5
903,3.723804379115004,6,7
637,3.7319913571751933,6,7
993,3.7346498438166686,5,7
772,3.743039613444011,3,4
164,3.7456429794855315,0,1
415,3.748417994957188,4,3
687,3.7684309986229163,3,4
817,3.7863920756663907,5,7
871,3.7871241362340218,2,3
773,3.7884212104825794,0,1
311,3.792955871258492,1,3
886,3.8023999911948256,5,7
181,3.8179563646000965,6,7
721,3.8185434694595917,2,4
101,3.8276637991967597,5,7
931,3.842485673569647,0,1
941,3.8645345908114415,2,4
184,3.8652565173264404,3,4
980,3.9007647233557483,4,3
749,3.900989643008651,3,2
222,3.904312618829383,2,1
365,3.9170143739017704,2,1
939,3.9212114342579283,4,3
680,3.9389700775807577,2,3
848,3.940114757071422,4,5
455,3.9430135521177916,3,2
977,3.9488873366527377,3,6
714,3.952158915056768,1,7
940,3.9701310046506597,1,2
598,3.971820567472813,2,1
674,3.9796152089132613,2,3
382,3.9811368211013596,6,5
586,3.9929376594539656,5,4
89,3.9949277309550992,2,3
571,4.002985773769752,2,3
177,4.006925412211867,1,2
666,4.00836639581012,3,4
165,4.0141182636230255,1,2
95,4.0326360077389065,4,3
450,4.044403858618729,2,1
254,4.04893973945966,2,1
820,4.070940417128273,0,1
756,4.0819047070250125,6,7
732,4.091381183528565,6,7
523,4.095568916533544,0,1
681,4.103186328596776,2,1
75,4.113614690513147,5,4
843,4.1291988392906624,2,1
693,4.13941843649549,4,5
872,4.163409570891857,4,5
855,4.173666597311455,2,3
711,4.176055752282582,3,4
430,4.177766445753516,4,6
121,4.205411466009596,4,6
653,4.236174099950045,3,4
808,4.249464512730941,0,1
915,4.269983387064777,4,5
144,4.283650561207613,2,3
901,4.28949662019721,1,2
43,4.298834598707218,5,3
708,4.299723271411492,2,3
433,4.307947223681167,4,2
606,4.318098691627709,0,1
51,4.322854816878354,3,4
860,4.341905928092041,2,3
511,4.364460531236581,1,2
485,4.380045077865617,4,2
867,4.435209777862975,3,5
679,4.441526392995847,4,5
315,4.471974875807368,6,5
688,4.472073976161601,1,2
844,4.475466102414073,2,3
934,4.480600072079541,6,5
33,4.484243234846788,4,5
810,4.488983846503004,5,6
305,4.492916595796699,1,2
550,4.498004966633216,3,5
286,4.4984422769222085,6,7
551,4.500167218188045,5,4
471,4.503522920619033,5,4
291,4.516006692616878,5,3
674,4.533818079678132,3,5
5,4.535082861778223,3,5
308,4.571499762917658,4,3
583,4.578466757904592,3,4
675,4.582074824251523,3,4
580,4.582304597873774,6,7
630,4.585547714477017,6,7
717,4.587343401570732,2,1
535,4.58974994985392,0,1
98,4.605413729289941,0,1
678,4.616530554571366,0,1
557,4.618414810046761,6,7
772,4.625773181876001,4,5
997,4.64671927052444,0,1
676,4.649849758775984,4,7
441,4.6905591176347725,6,7
882,4.699947854405179,6,7
266,4.700821857342423,2,1
908,4.703295225798466,0,1
147,4.707098270848046,4,3
597,4.714624846903629,1,0
632,4.718942601027665,4,5
239,4.727826366077927,4,3
161,4.729056814888219,3,2
224,4.730763939926632,2,1
304,4.731194725526711,2,1
312,4.731860511017555,5,7
129,4.736521103841612,5,7
153,4.73970014664199,6,5
42,4.756798334940854,6,7
721,4.759778684075648,4,3
985,4.799622655168636,4,5
996,4.800120310962845,6,7
562,4.816085603404049,3,4
545,4.816621469141416,1,2
870,4.818254260085154,1,3
881,4.82484941681564,5,4
283,4.858176370662371,0,1
372,4.927743691415666,5,4
933,4.932666566720991,2,3
647,4.9349711888711685,2,3
434,4.94301544965937,2,3
490,4.952029345085015,3,4
829,4.9530338505617,1,2
73,4.959467131414026,4,3
155,4.962207255889772,5,7
530,4.963743601965791,5,1
850,5.022323979354999,4,7
679,5.032927280650469,5,7
870,5.043369728851361,3,5
746,5.0438126510984755,5,7
252,5.044676730852347,0,1
519,5.051513764883343,2,3
231,5.058536365399646,2,3
179,5.064609818266811,5,4
640,5.0761459415876296,0,3
843,5.078845214095563,1,5
876,5.082953160901466,2,3
855,5.084658939670559,3,2
423,5.0919304650710515,5,7
463,5.094351952313113,5,3
76,5.095202877466061,1,2
45,5.095219710857412,2,3
281,5.117814138785124,6,7
452,5.127529986580003,3,2
460,5.162420869538981,5,7
490,5.1968789407989915,4,3
364,5.199995268668305,2,0
115,5.227331375190429,0,1
147,5.254357356823835,3,2
985,5.260936846218482,5,4
68,5.261461083161888,1,3
837,5.294843048957432,6,5
276,5.322447506251841,1,2
307,5.323781117664409,3,4
589,5.3257436747156275,4,5
934,5.344225510190897,5,7
953,5.353785013701629,2,3
710,5.375115732701019,5,4
121,5.383197592231511,6,7
12,5.41577440307897,2,3
623,5.427830896480745,2,3
91,5.429852482145564,3,4
220,5.430344378235975,4,5
600,5.436929133979528,3,4
997,5.4430618835582285,1,4
771,5.454045854935862,1,2
887,5.469072535204866,5,4
361,5.472536285890299,1,2
643,5.474974699793819,3,2
774,5.480771419357128,3,4
380,5.496369502507272,1,2
542,5.497461628811743,2,1
635,5.5091737897435715,5,3
921,5.510532351733031,3,4
942,5.518567822523243,1,2
731,5.535233555836076,2,3
711,5.5358310858172315,4,5
209,5.569281207260907,3,2
330,5.5893268356462045,1,2
368,5.633253476462255,3,2
372,5.6351621782633385,4,5
739,5.636394817481727,5,7
250,5.652015099760253,5,6
845,5.668993500053716,0,1
39,5.681857544673052,5,7
652,5.685026613446626,5,4
272,5.693600242052436,0,1
415,5.697481147501147,3,4
872,5.720163533242967,5,4
883,5.735866985941339,6,7
847,5.738567732073346,0,1
552,5.742504525776816,5,7
382,5.779207825398921,5,7
931,5.7861495325653225,1,3
874,5.7903835285193646,1,2
478,5.813515187986899,4,7
787,5.820674040964861,2,3
721,5.8235350620280455,3,4
59,5.844645492074129,5,7
271,5.855302989830891,1,2
999,5.876608664743105,0,1
920,5.890773903740823,3,2
254,5.899947887001764,1,2
320,5.90375473717968,6,7
867,5.9078773075880555,5,4
215,5.9214020256154205,3,2
268,5.943709681830684,4,3
836,5.945743769848455,5,4
744,5.989066986496044,5,3
595,6.002514663668782,3,2
880,6.00526102863622,2,3
857,6.013061663896858,1,2
434,6.015856922889114,3,2
681,6.03487817569818,1,2
68,6.035674899651046,3,4
806,6.041574712521545,2,1
84,6.075087345743087,5,6
820,6.084482831724571,1,2
79,6.085109284047095,1,0
225,6.092939152340795,4,5
1,6.10427709905027,2,1
601,6.1106100042035685,3,4
50,6.119190777348737,1,2
930,6.1233741574672225,2,3
673,6.1494472288132425,5,4
99,6.150297526604874,4,3
549,6.1576642452861385,1,2
977,6.159121523962867,6,5
402,6.167844194468989,5,6
352,6.181942502777097,0,1
908,6.203109711384696,1,2
941,6.210601268988581,4,5
643,6.214409412315249,2,3
278,6.218596560598407,1,2
390,6.232731568679811,2,3
359,6.239363983585893,1,2
452,6.244340932377095,2,3
190,6.258998606460216,4,5
414,6.267708729792651,6,7
833,6.279684185284904,5,4
305,6.342854856703948,2,1
521,6.369654412783873,4,5
